ilkid	gp	minutes	pts	reb	asts	turnover	fga	fgm
ELLIOBO01 	141	2324	980	502	204	233	720	356
ELLIOSE01 	742	24502	10544	3204	1897	1328	8290	3852
ELLISAL01 	118	1873	607	616	86	0	564	227
ELLISBO01 	168	1984	613	482	113	145	548	236
ELLISDA01 	1209	34778	19002	4201	1746	1771	15275	7322
ELLISHA01 	145	1923	840	291	89	111	592	312
ELLISJO01 	524	10374	4623	2686	716	0	4884	1946
ELLISLA01 	624	17615	7410	4032	981	1001	6409	2895
ELLISLE01 	1048	27520	10176	8709	1405	0	9378	4143
ELLISLE02 	91	857	277	220	29	35	254	110
ELLISMO01 	232	7493	3716	862	805	519	2986	1458
ELLISPE01 	474	11593	4494	3170	691	798	3579	1826
ELMORLE01 	505	8384	2327	2146	459	522	2252	929
ELMORLE01 	153	4005	1621	1214	157	258	1716	698
ELSONFR01 	393	6519	1578	1507	224	321	1387	665
ELSTODA01 	72	1869	596	163	202	126	613	250
ELSTODA01 	5	40	5	6	2	0	14	2
ELYME01   	343	5616	1917	1140	247	379	1645	752
EMBRYWA01 	831	21763	10380	7544	1194	0	9067	3993
EMMETAN01 	8	28	7	2	0	1	6	2
ENDRENE01 	16	0	14	0	4	0	25	3
ENGLECH01 	195	1405	343	386	45	91	336	138
ENGLEWA01 	11	50	28	16	7	3	29	11
ENGLIAJ01 	151	3108	1502	315	320	203	1418	617
ENGLIAL01 	1193	38063	25613	6538	4351	2821	21036	10659
ENGLICL01 	18	70	27	20	6	0	42	11
ENGLIJO01 	50	577	179	54	46	46	178	74
ENGLISC01 	76	1364	500	379	92	97	509	213
ENGLISC01 	29	196	93	44	15	0	93	36
ENGLUGE01 	46	0	360	0	41	0	274	104
EPPSRA01  	13	72	26	5	2	2	23	10
ERIASBO01 	18	401	148	83	26	0	170	59
ERICKKE01 	766	18841	7251	3448	1991	0	6926	3014
ERVINJU01 	407	16550	11662	4924	1952	1617	9094	4581
ERVINJU01 	836	28677	18364	5601	3224	2323	14276	7237
ESCHMEV01 	153	2137	421	601	76	96	341	158
ESKRIJA01 	23	0	64	0	14	0	69	25
ESPOSVI01 	30	282	116	16	23	39	100	36
EVANSBI01 	53	602	102	39	100	0	87	32
EVANSBO01 	47	0	142	0	55	0	200	56
EVANSBR01 	102	1097	375	164	77	42	378	144
EVANSEA01 	36	381	157	75	37	36	140	63
EVANSMA01 	386	7715	2716	1050	318	214	2302	1032
EVANSMI01 	591	9858	4531	808	1514	818	4060	1835
EVANSRE01 	514	10067	2205	3525	298	579	1587	743
EWINGDA01 	126	1671	425	158	174	106	411	160
EWINGPA01 	1183	40597	24815	11606	2215	3535	19241	9702
EZERSJO01 	135	0	1031	0	169	0	1270	366
FABELJO01 	30	0	63	0	2	0	96	25
FAIRCJO01 	30	171	60	45	11	0	89	23
FAIRCJO01 	135	2106	1025	481	104	177	937	391
FARBMPH01 	48	0	155	0	36	0	163	50
FARLEDI01 	211	3822	1378	527	386	0	1252	481
FarmaJo01 	218	3966	1485	418	524	268	1337	576
FarmeDe01 	11	86	26	7	11	5	29	9
FARMEJI01 	136	1454	715	186	111	118	643	275
FARMEMI01 	423	8818	2816	1950	550	0	2965	1165
FARMETO01 	101	1368	532	327	79	91	365	144
FAUGHBO01 	51	0	343	0	33	0	478	141
FazekNi01 	26	269	107	89	11	13	82	46
FEDORDA01 	7	27	6	6	1	0	10	3
FEERIBO01 	221	0	2936	0	440	0	2977	1077
FEHERBU01 	48	487	248	74	36	0	162	86
FEICKJA01 	201	4315	911	1437	139	152	827	351
FEIERRO01 	10	59	30	6	6	0	28	8
FEIGEGE01 	17	79	52	7	19	0	79	18
FEITLDA01 	275	3001	1192	815	125	234	1089	471
FELIXNO01 	12	82	18	13	2	8	25	6
FELIXRA01 	637	15188	6974	5652	448	0	5841	2406
FELTORA01 	319	11298	4345	1078	2127	854	3986	1592
FENDLJA01 	103	1031	287	126	94	0	250	86
FENLEBI01 	33	0	85	0	16	0	138	31
FERGUDE01 	7	32	13	4	1	1	12	5
FernaRu01 	78	1993	815	207	158	86	630	268
FERNSER01 	218	1643	517	372	82	72	434	193
FERRAAL01 	371	7582	2525	830	943	0	2389	878
FERREDU01 	583	8727	3704	1132	509	509	2961	1420
FERRERO01 	12	34	9	13	1	6	18	1
FERRIAR01 	178	0	1037	271	278	0	1147	381
FERRYBO01 	634	12828	5780	3343	906	0	5142	2225
FERRYDA01 	917	18134	6439	2550	1185	811	5615	2505
FesenKy01 	30	226	63	62	6	17	52	27
FIELDBO01 	22	124	54	30	20	21	48	22
FIELDKE01 	184	2692	1140	464	188	181	977	463
FILIPRO01 	19	73	43	25	7	0	47	18
FILLMGR01 	49	338	118	108	20	0	129	52
FINCHLA01 	128	3042	1106	217	301	185	992	428
FINKEHA01 	551	6866	2790	2151	426	0	2508	1125
FINLEMI01 	1057	37290	17104	4733	3202	1608	14911	6615
FINNDA01  	142	3397	1042	548	566	0	1169	382
FISHEDE01 	946	24683	8590	2056	3045	1173	7372	2977
FISHERI01 	12	66	37	32	5	4	34	18
FISHMA01  	50	516	177	110	25	34	142	71
FITCHGE01 	17	238	84	30	33	15	87	30
FITZGBO01 	78	0	240	0	47	0	391	76
FITZGDI01 	61	0	277	0	40	0	498	118
FIZERMA01 	289	6030	2782	1340	352	428	2536	1103
FLEISJE01 	262	882	1512	152	429	0	1953	541
FLEMIAL01 	20	97	40	30	7	16	31	15
FLEMIED01 	292	6186	2511	1532	544	0	2403	862
FLEMIVE01 	893	24721	10125	3015	4293	1795	7954	3964
FLORELU01 	16	77	35	3	11	11	29	14
FLOWEBR01 	53	699	261	180	47	43	206	110
FLOYDSL01 	957	26383	12260	2494	5175	2251	10015	4448
FLYNNMI01 	67	1097	421	133	133	81	439	166
FLYNNMI01 	144	2279	896	304	321	75	840	370
FOGLELA01 	2	14	2	3	0	0	5	1
FOLEYJA01 	11	83	53	16	5	0	51	20
FONTAIS01 	6	75	11	5	4	4	14	3
FONTALE01 	35	210	134	15	22	0	145	53
FORDAL01  	11	114	35	20	10	9	52	16
FORDAL02  	73	523	186	124	11	37	138	70
FORDBO01  	9	74	14	12	4	4	17	5
FORDCH01  	794	22043	7314	2394	2719	726	6874	3160
FORDDO01  	474	9301	3016	1691	647	296	2828	1313
FORDJA01  	31	249	126	20	35	0	91	42
FORDPH01  	482	13503	5594	854	3083	1326	4560	2128
FORDSH01  	28	139	90	24	5	6	80	30
FORDSH02  	3	13	4	3	0	2	3	2
FORDTJ01  	327	9737	4039	1082	2129	871	3526	1533
FORMADO01 	44	0	179	0	74	0	231	68
FORREBA01 	139	2130	569	565	296	191	510	229
FORTEJO01 	25	125	30	17	17	13	47	11
FORTSDA01 	440	8833	3615	3184	306	655	2534	1196
FOSTEFR01 	523	9116	4093	1275	601	0	4107	1701
FOSTEGR01 	656	7974	2538	1691	351	465	2382	1047
FOSTEJE01 	681	14421	3486	4776	632	566	2729	1361
FOSTEJI01 	89	1158	331	117	190	151	354	132
FOSTERO01 	207	3446	1562	258	479	286	1434	631
FOTSIAN01 	28	319	108	62	10	21	104	42
FOUSTLA01 	817	21890	11198	8041	1368	0	9414	3814
FOWLECA01 	78	1234	343	170	126	0	288	131
FOWLEJE01 	6	41	9	10	2	0	13	4
FOWLKTR01 	103	1232	301	228	54	50	257	105
FOXHA01   	10	84	31	8	10	0	32	12
FOXJI01   	743	17294	6945	5525	1201	0	5452	2611
FOXRI01   	930	23722	8966	3517	2649	1611	7519	3382
FoyeRa01  	191	5630	2481	560	699	381	2134	897
FOYLEAD01 	733	13069	2989	3461	344	597	2766	1318
FRAHMRI01 	140	1475	502	164	83	35	433	178
FRANCST01 	576	21632	10446	3215	3473	2030	8267	3543
FRANKNA01 	6	0	16	0	3	0	27	4
FRANKTE01 	264	4703	1710	1022	276	326	1456	639
FRANKWI01 	107	1264	657	400	65	146	631	262
FRANZRO01 	403	9912	4733	2128	668	522	3945	1765
FRAZIWA01 	825	30965	15581	4830	5040	139	12516	6130
FRAZIWI01 	2	9	1	5	1	0	4	0
FRAZIWI02 	151	3495	1499	1082	170	221	1382	575
FREDEAN01 	147	1640	718	280	135	132	663	291
FREEMDO01 	584	19546	11544	2112	2121	1016	9398	4303
FREEMDO01 	64	1480	689	180	171	0	606	263
FREEMGA01 	52	382	167	106	35	0	134	69
FREEMRO01 	35	265	106	54	14	0	103	39
FREEWO01  	886	26893	17955	2430	3319	1869	14294	6512
FREIJMA01 	42	587	133	85	27	20	181	53
FREYFR01  	23	0	88	0	14	0	97	28
FRIENLA01 	44	569	175	106	47	0	226	74
FRINKPA01 	48	363	123	41	55	0	147	50
FRITSJI01 	84	1372	326	249	77	0	427	132
FRYECH01  	278	5561	2279	1262	200	280	2048	937
FRYERBE01 	120	2370	756	227	357	17	665	297
FUCARFR01 	28	0	140	0	8	0	198	53
FUETSHE01 	42	0	109	0	17	0	140	42
FULKSJO01 	489	4490	8003	1379	587	0	9338	2824
FULLECA01 	76	1214	433	358	60	7	386	176
FULLEHI01 	4	43	8	11	2	4	8	3
FULLETO01 	15	248	60	42	28	23	66	24
FULLETO02 	225	2500	835	674	46	146	752	317
FUNDELA01 	318	4726	2031	1142	183	225	1606	812
FURLOTE01 	239	4809	2550	507	568	374	2273	1044
GABORBI01 	307	3680	2997	448	626	0	3141	1080
GADZUDA01 	451	7003	2261	2094	170	312	1881	957
GAIDE01   	2	5	0	0	0	0	0	0
GAINEBI01 	1	5	2	1	0	1	2	1
GAINECO01 	80	1001	248	69	247	72	217	92
GAINEDA01 	3	36	10	10	0	0	16	4
GAINEEL01 	20	0	29	0	10	0	44	10
GAINERE01 	71	603	123	53	50	26	148	48
GALEMI01  	389	9456	2831	1323	1181	653	2628	1191
GALEMI01  	453	11189	3372	1122	1965	647	3006	1425
GALLACH01 	2	3	6	0	0	0	3	3
GALLAHA01 	682	15813	8843	6684	1208	0	7057	2810
GalliDa01 	28	413	170	55	15	15	125	56
GAMBEDA01 	750	14665	7935	3891	757	0	6708	2820
GAMBLKE01 	649	14508	6154	1457	1300	587	5106	2562
GANTTBO01 	23	0	71	0	5	0	89	29
GarbaJo01 	74	1981	589	345	128	65	554	230
GARCERU01 	13	73	16	29	5	5	22	7
GARCIAL01 	10	159	47	15	18	9	59	19
GARCIFR01 	289	6770	2645	871	459	383	2120	936
GARDNCH01 	42	487	197	136	13	52	175	71
GARDNEA01 	50	0	89	0	19	0	101	38
GARDNKE01 	9	51	14	13	3	1	18	6
GardnTh01 	20	143	45	11	3	7	59	18
GARDNVE01 	151	507	1339	349	245	0	1493	514
GARFIJA01 	92	0	476	0	134	0	754	207
GARLAGA01 	78	1106	334	138	145	73	356	155
GARLAWI01 	511	13388	4799	1433	2421	975	4444	1912
GARMADI01 	421	12155	5597	1748	1114	0	5019	2022
GARNEBI01 	300	5260	1638	1298	393	332	1167	572
GARNEBI02 	53	514	81	119	24	47	103	28
GARNECH01 	46	442	72	36	63	34	107	30
GARNEKE01 	1055	39646	21277	11682	4534	2614	17144	8502
GARNEMA01 	24	205	51	21	18	12	51	15
GARRECA01 	166	3008	855	436	242	165	820	375
GARREDE01 	359	6970	1737	1810	204	203	1504	722
GARREEL01 	339	8729	3475	1004	849	0	3392	1436
GARRERO01 	263	2905	1337	607	106	0	1273	562
GARRIJO01 	33	267	131	77	10	11	102	52
GARRIKI01 	31	248	72	20	30	16	75	24
GARRIPA01 	552	11069	4017	1457	443	417	3543	1479
GARRITO01 	251	4718	1359	501	853	343	1159	543
GARVIJI01 	6	11	2	5	0	0	4	1
GasolMa01 	82	2520	975	605	143	164	661	350
GASOLPA01 	584	20825	11002	5087	1853	1439	7911	4112
GATESFR01 	64	0	287	0	91	0	402	113
GATLICH01 	700	13761	7232	3741	461	1069	5469	2804
GATTIKE01 	494	9930	3923	2327	444	602	2956	1536
GAYDAED01 	14	0	54	38	13	0	42	18
GayRu01   	238	8055	3971	1282	393	533	3377	1518
GAZEAN01  	26	128	43	12	11	7	42	16
GEARYRE01 	101	931	209	82	110	57	227	78
GEIGEMA01 	552	12221	5059	3158	391	744	4082	2039
GelabMi01 	109	1701	489	231	89	76	421	191
GEORGDE01 	585	10926	3294	1861	511	432	3153	1229
GEORGJA01 	506	15860	5153	2129	2169	0	5226	1901
GEORGTA01 	177	2019	736	180	325	157	717	297
GERARGU01 	166	4429	2158	1092	336	393	2015	886
GERARGU01 	280	3524	1607	719	224	161	1502	655
GERVIDE01 	77	1082	676	175	38	57	591	257
GERVIGE01 	791	26536	20708	3607	2214	2137	15747	8045
GERVIGE01 	269	9061	5887	1995	584	772	4836	2323
GETCHGO01 	16	0	5	0	0	0	8	0
GIANEJO01 	541	13650	4210	3188	832	275	3823	1798
GIBBSDI01 	333	4310	1739	624	260	0	1678	675
GibsoDa01 	193	4550	1467	381	346	181	1223	505
GIBSODE01 	44	0	281	0	126	0	245	77
GIBSOME01 	9	53	13	4	6	0	20	6
GIBSOMI01 	64	390	101	106	14	20	106	41
GIBSOWA01 	32	0	176	0	37	0	195	67
GiddeJR01 	6	7	4	3	0	1	3	2
GILLEBE01 	24	84	25	23	2	5	19	6
GILLED01  	186	2034	571	207	217	139	496	179
GILLEGE01 	14	0	8	0	2	0	11	1
GILLEJA01 	2	27	2	7	0	0	5	0
GILLIAR01 	929	26421	12700	6402	1086	1723	9897	4838
GILLIHE01 	578	15026	6252	2175	2225	0	6120	2696
GILLKE01  	966	29482	12914	4002	2945	1734	11672	5068
GILMOAR01 	909	29685	15579	9161	1777	2347	9570	5732
GILMOAR01 	420	17449	9362	7169	1273	1579	6588	3671
GILMOWA01 	27	261	58	73	12	0	54	23
GILMUCH01 	239	0	1392	75	348	0	1571	511
GINOBEM01 	478	13254	7044	1943	1704	999	4963	2252
GIRICGO01 	384	8820	3670	941	584	517	3224	1424
GIVENJA01 	156	2601	1040	456	142	134	1037	416
GLAMAGE01 	11	0	102	0	19	0	121	30
GLASSGE01 	201	3347	1553	512	298	179	1583	686
GLENNMI01 	593	9617	4496	710	952	429	3611	1958
GLICKNO01 	1	0	2	0	0	0	1	1
GLOUCGE01 	49	772	239	163	32	76	209	84
GLOVECL01 	25	119	65	46	4	0	55	25
GLOVEDI01 	294	6131	2407	897	455	370	2222	914
GlyniAn01 	13	80	17	8	1	9	17	8
GMINSMI01 	938	24058	10953	6480	1203	1368	9047	4208
GODFRDA01 	11	22	13	2	0	0	12	5
GOLATO01  	698	22529	7871	5617	2962	0	6883	2964
GOLDFBE01 	2	0	2	0	0	0	2	0
GOLDWAN01 	266	4951	1667	359	737	264	1425	580
GOMESRY01 	298	8695	3467	1574	457	384	2909	1323
GONDRGL01 	435	7545	2544	1964	605	453	2069	979
GONDRGR01 	91	1080	454	146	115	73	395	173
GOODEDR01 	510	14333	6134	4023	575	828	5233	2462
GOODRGA01 	1031	33527	19181	3279	4805	390	16300	7431
GOODRST01 	21	183	24	26	11	11	28	9
GOODWWI01 	79	0	347	0	22	0	503	134
GORDOBE01 	398	12479	7372	1196	1192	966	5931	2591
GordoEr01 	78	2677	1252	201	215	164	901	411
GORDOLA01 	201	2581	1125	259	294	237	1208	472
GORDOPA01 	4	0	3	0	3	0	6	0
GortaMa01 	69	834	257	302	16	27	204	114
GOTTLLE01 	84	0	465	0	36	0	722	208
GOVANGE01 	681	22925	5251	7119	2164	1069	5288	2142
GOVEDBA01 	23	258	75	18	24	0	79	25
GRABOJO01 	845	22665	9280	5999	1502	0	9763	3433
GRACERI01 	3	8	4	1	1	0	3	2
GRAHACA01 	8	52	13	10	0	1	14	4
GRAHAGR01 	207	2530	938	219	201	179	813	331
GRAHAJO01 	275	4774	1771	851	167	238	1395	670
GRAHAMA01 	100	889	327	118	75	0	327	130
GRAHAOR01 	7	22	8	11	0	2	10	3
GRAHAPA01 	179	3354	1499	433	352	216	1299	582
GRAHAST01 	112	1195	490	178	57	83	424	184
GRANDJI01 	26	168	79	50	8	11	58	30
GRANDRO01 	105	872	254	163	58	51	208	84
GRANGDA01 	306	9813	5009	1582	550	549	3813	1722
GRANGST01 	80	996	316	78	173	91	297	123
GRANTBR01 	756	21415	7933	5622	923	1235	6332	3103
GRANTBU01 	96	0	249	115	90	0	299	95
GRANTGA01 	552	12602	4368	1283	3013	1268	4140	1864
GRANTGR01 	274	3350	767	248	751	231	820	314
GRANTHA01 	783	20510	7781	3435	1219	714	7138	3345
GRANTHO01 	1165	38623	12996	9443	2575	1303	10695	5439
GRANTJO01 	53	382	157	89	24	30	146	59
GRANTPA01 	16	111	29	18	3	9	29	13
GRANTTR01 	168	4156	2642	767	204	261	2141	1132
GRANTTR01 	33	153	125	52	7	0	116	51
GRATEDO01 	2	0	4	0	3	0	6	1
GRAVEBU01 	4	11	5	2	1	1	6	2
GrayAa01  	117	1331	458	388	87	97	371	184
GRAYDE01  	27	173	67	39	7	9	63	23
GRAYED01  	60	809	373	73	46	59	384	130
GRAYEJE01 	438	8277	3257	1294	635	484	2925	1336
GRAYEV01  	5	42	13	3	2	3	15	4
GRAYGA01  	44	276	105	23	26	0	134	49
GRAYLE01  	224	6058	2408	1169	490	0	2196	1030
GRAYST01  	386	3457	906	1020	148	243	758	338
GRAYSY01  	55	1220	440	286	117	102	398	167
GRAYWY01  	67	0	363	0	50	0	513	145
GREACBO01 	4	20	2	2	1	2	2	1
GREACBO01 	43	335	111	65	40	0	121	45
GREENAC01 	1278	36555	12331	9473	1400	1434	9202	4544
GREENDA01 	823	23370	8428	6537	1614	1474	6812	3251
GREENDE01 	27	136	25	24	7	5	28	6
GreenDo01 	55	727	209	86	30	37	236	77
GREENGE01 	181	2888	1362	368	145	207	1208	507
GREENJE01 	25	329	122	83	11	0	103	40
GreenJe02 	158	5114	2130	897	274	331	1816	797
GREENJO01 	1057	24624	12281	9083	1449	0	10091	4973
GREENKE01 	60	625	265	101	16	50	262	108
GREENKE02 	7	72	31	27	2	1	27	13
GREENLA01 	66	1136	327	364	63	60	340	139
GREENLA01 	345	6168	1806	2186	247	0	1738	754
GREENLI01 	148	1189	423	75	182	78	343	144
GREENLU01 	5	32	3	3	0	0	11	0
GREENLU01 	85	903	381	318	30	0	391	154
GREENMI01 	245	5410	2062	1329	340	230	1808	832
GREENMI01 	214	5924	3239	1852	247	467	2726	1345
GREENOR01 	128	1552	323	195	154	144	326	126
GREENRI01 	946	23271	8870	1819	5221	1583	7669	3594
GREENSE01 	84	671	352	85	45	63	396	153
GREENSI01 	504	13132	4636	2152	1655	0	4481	1732
GREENSI02 	679	13247	5080	4128	635	1038	4386	1993
GREENST01 	52	1068	474	194	64	72	438	195
GREENST01 	153	1632	705	300	97	40	641	281
GreenTa01 	17	73	27	10	11	9	25	7
GREENTO01 	59	809	232	68	140	89	237	92
GREENWI01 	349	7627	3316	680	579	425	3242	1348
GREERHA01 	1122	39788	21586	5665	4540	0	18811	8504
GreerLy01 	41	438	167	27	53	18	141	61
GREGOCL01 	25	315	136	97	16	24	136	62
GREGOGA01 	74	996	349	253	55	51	322	150
GREGOGA01 	287	7309	2878	2033	427	0	2929	1266
GREIGJO01 	9	26	19	6	0	2	13	7
GREKINO01 	1	1	0	0	0	0	0	0
GREVEKE01 	672	15246	7364	1594	1247	748	6670	2915
GREYDE01  	62	1391	543	345	52	129	463	190
GRIFFAD01 	477	7993	1919	1513	653	331	1794	785
GRIFFDA01 	765	21403	12391	2519	1627	1632	11305	5237
GRIFFED01 	303	6731	2171	1744	236	227	2263	854
GRIFFGR01 	36	422	145	103	24	39	169	61
GRIFFPA01 	480	10053	2443	2650	1116	638	1657	837
GRIGSCH01 	7	45	16	11	7	0	19	7
GRIMMDE01 	9	46	14	4	0	3	14	4
GRIMSGE01 	21	0	61	0	1	0	56	20
GROATDI01 	26	663	309	86	69	0	272	100
GROSSBO01 	513	12575	4567	2253	1481	729	3629	1857
GROSSMI01 	25	335	103	123	11	20	102	45
GROTEJE01 	11	33	14	4	4	0	11	6
GROZAAL01 	130	0	2925	709	318	0	2136	1013
GRUBADI01 	2	8	4	0	1	0	3	2
GRUNDAN01 	12	108	52	17	9	9	38	19
GRUNFER01 	693	12916	5124	1815	1419	801	4328	2065
GUARIGE01 	129	1082	413	294	36	0	447	168
GUDMUPE01 	150	2060	693	563	153	195	508	251
GUERIRI01 	848	27449	14676	4278	4211	0	12451	5174
GUGLITO01 	763	23558	9895	5588	2140	1734	8584	3871
GUIBEAN01 	22	200	60	61	12	18	67	22
GUIDIJA01 	64	346	98	97	20	26	87	35
GUNTHCO01 	84	0	893	0	65	0	937	311
GUNTHDA01 	1	5	2	3	3	0	2	1
GUOKAAL01 	57	0	214	0	95	0	299	93
GUOKAMA01 	735	16603	4285	1446	2174	0	3665	1792
GUOKAMA02 	47	0	82	0	9	0	104	28
GUYTOAJ01 	80	1247	442	80	147	62	440	166
HACKERU01 	22	414	141	78	28	24	131	55
HACKERU01 	6	46	14	13	3	0	10	3
HaddaHa01 	19	120	48	47	8	9	31	15
HADNOJI01 	77	3004	1344	936	135	169	1045	488
HAFFNSC01 	50	609	213	55	89	37	238	96
HAGANCL01 	94	2343	1423	439	404	290	1031	511
HAGANCL01 	745	21731	13447	5116	2242	0	11630	5239
HAGANGL01 	4	25	7	4	8	1	7	3
HAGANTO01 	73	916	358	113	135	0	327	137
HAHNBO01  	10	0	10	0	1	0	13	4
HAIRSAL01 	42	294	91	41	44	0	122	41
HAIRSHA01 	776	24330	11505	8019	1268	0	8872	4240
HAIRSLI01 	47	651	273	179	21	0	228	104
HairsMa01 	15	155	50	28	13	12	49	24
HAISLMA01 	79	810	286	121	16	36	265	115
HALBECH01 	303	0	2671	539	438	0	2900	910
HALBRHA01 	143	2039	786	949	64	0	885	307
HALEBR01  	142	0	1297	49	424	0	1334	444
HALEHA01  	72	1706	361	206	144	91	408	133
HALEYJA01 	341	3288	1180	921	82	216	1022	434
HALIMSH01 	85	1129	450	210	121	89	443	182
HALIMSH01 	169	2519	1136	571	302	0	1223	485
HALLIJE01 	92	1075	562	145	116	0	529	233
HallMi01  	2	13	2	2	1	0	4	1
HAMDA01   	417	5180	1139	963	229	308	856	443
HAMERST01 	35	268	76	60	7	13	57	30
HAMILDA01 	14	0	25	0	17	0	33	8
HAMILDE01 	69	519	197	101	38	0	175	91
HAMILDE01 	75	1342	459	341	74	0	377	191
HAMILJO01 	344	9098	4145	884	1208	380	3829	1564
HAMILRA01 	48	0	289	0	83	0	447	114
HAMILRI01 	742	24720	13284	2455	2549	1641	11115	5044
HAMILRO01 	73	1121	336	110	192	119	290	116
HAMILST01 	82	1094	368	278	43	0	371	138
HAMILTA01 	9	98	20	18	5	2	19	10
HAMILTH01 	33	343	107	112	16	37	110	44
HAMILZE01 	133	1560	585	464	33	108	400	176
HAMMIGE01 	8	27	14	7	2	2	10	4
HAMMOJU01 	329	8039	3547	2036	421	280	2693	1383
HAMMOTO01 	687	10417	3617	2243	378	529	2940	1410
HAMOOJO01 	76	1839	750	217	227	126	819	274
HANCODA01 	133	1398	467	169	89	97	370	196
HANDLBE01 	38	469	163	120	19	28	130	68
HANKICE01 	80	0	394	0	22	0	507	140
HANKIPH01 	31	187	122	57	6	0	114	56
HANNUAL01 	516	7713	3078	2013	857	0	3341	1182
HANRADO01 	18	121	33	30	11	0	32	11
HANSEBO01 	575	11104	3952	1282	947	562	3512	1642
HANSEGL01 	112	1447	588	247	93	1	582	240
HANSELA01 	15	205	76	59	14	9	57	29
HANSETR01 	41	507	123	70	19	15	130	46
HANSORE01 	8	26	6	6	1	3	6	3
HANSRO01  	80	1734	556	176	207	0	582	221
HANZLBI01 	748	15534	5414	2058	2058	1090	4232	1836
HARDAAN01 	704	23714	10684	3146	3525	1786	8731	3995
HARDATI01 	867	30626	15373	2855	7095	2481	13076	5640
HARDIRE01 	39	1145	401	428	71	77	385	166
HARDIRE01 	191	5224	1774	1771	325	0	1830	761
HARDNCH01 	164	2474	1198	930	103	0	1023	433
HARDYAL01 	60	421	193	53	23	31	195	84
HARDYDA01 	17	172	89	56	8	12	74	32
HARDYJA01 	249	5379	1410	1312	315	299	1269	611
HARGEIR01 	427	13160	4396	4955	736	584	3963	1783
HARGIJO01 	74	0	710	30	111	0	616	248
HARKNJE01 	81	1513	589	227	150	97	461	203
HARKNJE01 	5	59	29	6	6	0	30	13
HARLISK01 	26	218	106	16	37	0	90	41
HARMOJE01 	10	158	46	23	12	7	53	21
HARPEDE01 	1199	37783	15997	2885	6571	2338	13379	6187
HARPEMI01 	123	1894	613	432	71	124	506	240
HARPERO01 	1009	31199	13910	4309	3916	2251	11946	5326
HARPRMA01 	665	17591	7645	3366	907	1000	6033	2900
HARRIAD01 	19	111	30	8	12	2	37	11
HARRIAL01 	728	21758	10010	4248	1313	1447	8577	3852
HARRIAR01 	238	5206	2171	575	639	0	2331	923
HARRIBE01 	11	25	5	8	1	0	11	2
HARRIBI01 	76	1221	609	122	111	79	664	264
HARRIBO01 	325	5768	2209	1824	502	0	2091	804
HARRIBO02 	615	12926	4418	1358	1672	0	5067	1782
HARRICH01 	41	420	101	44	44	0	149	37
HARRIDA01 	189	2691	949	549	47	216	705	374
HARRIDE01 	345	9053	4219	827	1486	685	3096	1415
HARRILO01 	140	3096	733	381	428	250	782	290
HARRILU01 	800	15702	5784	1864	1130	594	5151	2194
HarriMi01 	17	158	62	54	3	9	54	27
HARRIOT01 	709	13931	5212	3130	443	948	4001	2021
HARRIST01 	207	2840	1440	365	238	169	1363	592
HARRITO01 	14	147	68	11	8	10	55	16
HARTJA01  	337	5260	1621	565	768	272	1471	613
HARVEAN01 	187	1954	553	433	58	107	565	230
HARVEDO01 	205	3318	1150	827	161	209	985	453
HASKICL01 	681	17624	8743	2087	2382	0	7824	3515
HASKISC01 	27	186	55	55	6	13	45	21
HASLEUD01 	439	13819	4404	3548	504	526	3546	1774
HASSEBI01 	91	0	405	35	184	0	462	129
HASSEJO01 	292	3642	1723	307	386	178	1691	712
HASSETR01 	592	15175	3511	1674	1082	550	3263	1460
HASTISC01 	578	5985	1647	1287	284	325	1323	584
HASTOKI01 	27	134	32	27	8	10	56	13
HATTOVE01 	225	3666	1244	531	310	0	1409	485
HAVLIJO01 	1270	46471	26395	8007	6114	204	23930	10513
HawesSp01 	148	3187	1210	778	193	216	1118	519
HAWESST01 	688	15831	5768	4272	1288	821	4836	2337
HAWKICO01 	117	4998	3295	1479	504	355	2194	1131
HAWKICO01 	499	17234	8233	3971	2052	0	6453	3013
HAWKIHE01 	983	32038	14468	3554	2860	1828	10612	4889
HAWKIJU01 	58	685	134	78	47	29	148	57
HAWKIMA01 	39	0	152	0	51	0	195	55
HAWKIMI01 	75	641	132	68	117	50	130	49
HAWKIRO01 	103	2005	1313	240	150	45	1179	534
HAWKITO01 	764	18465	6672	4607	871	0	6171	2761
HAWTHNA01 	162	1991	882	333	108	0	803	338
HAYESCH01 	268	4682	914	1379	194	163	774	406
HAYESEL01 	1303	50000	27313	16279	2398	1358	24272	10976
HAYESJA01 	382	8867	3201	1222	419	347	3034	1258
HAYESJI01 	47	494	144	45	47	0	109	46
HAYESST01 	212	2296	545	526	85	99	483	233
HAYWOBR01 	530	12563	3982	3145	330	595	2811	1481
HAYWOSP01 	760	25600	14592	7038	1351	716	12447	5790
HAYWOSP01 	84	3808	2519	1637	190	0	1998	986
HAZENJO01 	6	0	18	0	3	0	17	6
HAZZAWA01 	724	19202	9087	2146	3555	0	8162	3597
HEADLU01  	265	6393	2288	705	605	351	1951	822
HEALSH01  	49	308	97	22	38	22	121	33
HEANEBR01 	14	70	28	4	6	0	24	13
HEARDGA01 	787	19571	6828	5876	1220	349	6877	2846
HEDDEHE01 	5	23	4	4	2	0	9	2
HEGGSAL01 	4	14	8	2	0	0	5	3
HEINSTO01 	654	19254	12194	5749	1318	0	11787	4773
