ilkid	gp	minutes	pts	reb	asts	turnover	fga	fgm
BINGDA01  	901	32769	18327	3420	5397	216	15769	6962
BINIOJO01 	11	51	14	18	1	3	10	4
BIRDJE01  	11	45	25	12	4	0	32	12
BIRDLA01  	897	34443	21791	8974	5695	2816	17334	8591
BIRDSOT01 	696	21627	12544	2072	2260	1491	10562	5347
BISHOGA01 	56	0	467	0	92	0	523	170
BLABUW01  	235	1966	505	413	102	141	427	185
BLACKAL01 	27	109	34	23	7	5	42	14
BLACKCH01 	136	117	1245	31	312	0	1535	435
BLACKCO01 	60	551	202	96	26	44	237	87
BLACKJA01 	13	80	18	11	11	5	13	8
BLACKNA01 	10	112	37	6	18	8	41	15
BLACKNO01 	3	28	8	2	2	1	10	3
BLACKRO01 	980	32087	17623	3278	2981	1829	13969	6887
BLACKTO01 	71	873	299	259	44	0	301	121
BLAKEST01 	419	10659	3172	871	1753	600	2859	1171
BlaloWi01 	14	166	25	15	17	12	30	9
BLANEGE01 	36	363	117	36	45	0	142	54
BLANKLA01 	142	1045	289	110	117	63	266	116
BLANTRI01 	2	13	6	3	1	1	7	3
BLATCAN01 	238	4237	1602	1032	259	290	1430	663
BLAYLMO01 	889	31026	11962	3659	5972	2067	11499	4705
BLEVILE01 	3	0	2	2	1	0	4	1
BLOCKJO01 	597	14316	7106	3965	805	0	5987	2592
BLOOMMI01 	93	0	634	0	70	0	821	209
BLOUNCO01 	644	9925	2287	2690	460	519	2038	959
BLOUNMA01 	605	13987	4941	2784	513	933	4010	2020
BLUMERA01 	49	546	226	41	68	54	222	102
BOBBITO01 	2	12	5	3	0	0	5	2
BOBBNE01  	227	2468	1052	405	488	0	1030	361
BOCKHAR01 	474	14791	5430	2234	1645	0	5574	2245
BOERWTO01 	635	14387	4596	5745	2007	26	4109	1863
BOGANKE01 	425	9957	3207	1359	588	427	2843	1119
BOGUEMU01 	889	25424	6858	2318	6726	1433	6210	2845
BOGUTAN01 	262	8451	3118	2288	661	533	2461	1319
BOHANET01 	26	152	37	44	6	14	21	9
BOLGEBI01 	20	202	56	36	11	0	59	24
BOLMA01   	624	11698	1599	2647	171	451	1635	665
BOLSTDO01 	3	21	4	0	0	0	5	2
BONDPH01  	7	21	4	4	2	2	6	2
